Slide Lot,Intensity,RPMI,Cell Line,Conjugate,Configuration
2121700,43,Yes,2113903,2122300,14
2121700,40,Yes,2113903,2122300,14
2121700,44,Yes,2113903,2122300,14
2121700,43,Yes,2113903,2122300,14
2121700,56,Yes,2113903,2122300,14
2121700,54,Yes,2113903,2122300,14
2124501,77,Yes,2113903,2122300,14
2124501,84,Yes,2113903,2122300,14
2124501,75,Yes,2113903,2122300,14
2124501,71,Yes,2113903,2122300,14
2124501,80,Yes,2113903,2122300,14
2124501,80,Yes,2113903,2122300,14
2124501,86,Yes,2113903,2122300,14
2124501,128,Yes,2113903,2122300,14
2124501,77,Yes,2113903,2122300,14
2124501,58,Yes,2113903,2122300,14
2124501,69,Yes,2113903,2122300,14
2124501,72,Yes,2113903,2122300,14
2124501,67,Yes,2113903,2122300,14
2124501,60,Yes,2113903,2122300,14
2124501,56,Yes,2113903,2122300,14
2124501,57,Yes,2113903,2122300,14
2124501,58,Yes,2113903,2122300,14
2124501,47,Yes,2113903,2122300,14
2124501,74,Yes,2113903,2122300,14
2124501,63,Yes,2113903,2122300,14
2124501,47,Yes,2113903,2122300,14
2124501,56,Yes,2113903,2122300,14
2124501,124,Yes,2113903,2122300,14
2124501,62,Yes,2113903,2122300,14
2124501,66,Yes,2113903,2122300,14
2124501,74,Yes,2113903,2122300,14
2125700,46,Yes,2113903,2122300,14
2125700,33,Yes,2113903,2122300,14
2125700,33,Yes,2113903,2122300,14
2125700,34,Yes,2113903,2122300,14
2125700,35,Yes,2113903,2122300,14
2125700,51,Yes,2113903,2122300,14
2125700,50,Yes,2113903,2122300,14
2125700,36,Yes,2113903,2122300,14
2125700,30,Yes,2113903,2122300,14
2125700,27,Yes,2113903,2122300,14
2125700,32,Yes,2113903,2122300,14
2125700,40,Yes,2113903,2122300,14
2125700,53,Yes,2113903,2122300,14
2125700,38,Yes,2113903,2122300,14
2125700,33,Yes,2113903,2122300,14
2125700,30,Yes,2113903,2122300,14
2125700,27,Yes,2113903,2122300,14
2125700,37,Yes,2113903,2122300,14
2125700,39,Yes,2113903,2122300,14
2125700,33,Yes,2113903,2122300,14
2125700,36,Yes,2113903,2122300,14
2125700,31,Yes,2113903,2122300,14
2125700,29,Yes,2113903,2122300,14
2125700,34,Yes,2113903,2122300,14
2125700,34,Yes,2113903,2122300,14
2125700,47,Yes,2113903,2122300,14
2129201,53,Yes,2126500,2122300,14
2129201,48,Yes,2126500,2122300,14
2129201,51,Yes,2126500,2122300,14
2129201,66,Yes,2126500,2122300,14
2129201,74,Yes,2126500,2122300,14
2129201,78,Yes,2126500,2122300,14
2129201,93,Yes,2126500,2122300,14
2129201,72,Yes,2126500,2122300,14
2129201,50,Yes,2126500,2122300,14
2129201,55,Yes,2126500,2122300,14
2129201,42,Yes,2126500,2122300,14
2129201,43,Yes,2126500,2122300,14
2129201,55,Yes,2126500,2122300,14
2129201,59,Yes,2126500,2122300,14
2129201,74,Yes,2126500,2122300,14
2129201,78,Yes,2126500,2122300,14
2129201,73,Yes,2126500,2122300,14
2129201,61,Yes,2126500,2122300,14
2129201,37,Yes,2126500,2122300,14
2129201,52,Yes,2126500,2122300,14
2129201,53,Yes,2126500,2122300,14
2129201,42,Yes,2126500,2122300,14
2129201,50,Yes,2126500,2122300,14
2129201,59,Yes,2126500,2122300,14
2129201,57,Yes,2126500,2122300,14
2129201,76,Yes,2126500,2122300,14
2129201,87,Yes,2126500,2122300,14
2129201,95,Yes,2126500,2122300,14
2129201,101,Yes,2126500,2122300,14
2129201,102,Yes,2126500,2122300,14
2129201,99,Yes,2126500,2122300,14
2129201,101,Yes,2126500,2122300,14
2129201,93,Yes,2126500,2122300,14
2129201,98,Yes,2126500,2122300,14
2129201,105,Yes,2126500,2122300,14
2129201,102,Yes,2126500,2122300,14
2129201,95,Yes,2126500,2122300,14
2129201,91,Yes,2126500,2122300,14
2129201,96,Yes,2126500,2122300,14
2129201,96,Yes,2126500,2122300,14
2129901,53,Yes,2113903,2122300,14
2129901,38,Yes,2113903,2122300,14
2129901,33,Yes,2113903,2122300,14
2129901,40,Yes,2113903,2122300,14
2129901,47,Yes,2113903,2122300,14
2129901,56,Yes,2113903,2122300,14
2129901,53,Yes,2113903,2122300,14
2129901,54,Yes,2113903,2122300,14
2129901,34,Yes,2113903,2122300,14
2129901,31,Yes,2113903,2122300,14
2129901,33,Yes,2113903,2122300,14
2129901,33,Yes,2113903,2122300,14
2129901,36,Yes,2113903,2122300,14
2129901,45,Yes,2113903,2122300,14
2132000,39,Yes,2126500,2122300,14
2132000,28,Yes,2126500,2122300,14
2132000,33,Yes,2126500,2122300,14
2132000,27,Yes,2126500,2122300,14
2132000,31,Yes,2126500,2122300,14
2132000,43,Yes,2126500,2122300,14
2132000,35,Yes,2126500,2122300,14
2132000,41,Yes,2126500,2122300,14
2132000,44,Yes,2126500,2122300,14
2132000,38,Yes,2126500,2122300,14
2132000,34,Yes,2126500,2122300,14
2132000,40,Yes,2126500,2122300,14
2132000,47,Yes,2126500,2122300,14
2132000,67,Yes,2126500,2122300,14
2132200,51,Yes,2126500,2122300,14
2132200,46,Yes,2126500,2122300,14
2132200,42,Yes,2126500,2122300,14
2132200,43,Yes,2126500,2122300,14
2132200,43,Yes,2126500,2122300,14
2132200,51,Yes,2126500,2122300,14
2132200,52,Yes,2126500,2122300,14
2132200,56,Yes,2126500,2122300,14
2132200,44,Yes,2126500,2122300,14
2132200,46,Yes,2126500,2122300,14
2132200,55,Yes,2126500,2122300,14
2132200,55,Yes,2126500,2122300,14
2132200,64,Yes,2126500,2122300,14
2132200,91,Yes,2126500,2122300,14
2133400,42,Yes,2126500,2106401,14
2133400,39,Yes,2126500,2106401,14
2133400,29,Yes,2126500,2106401,14
2133400,25,Yes,2126500,2106401,14
2133400,28,Yes,2126500,2106401,14
2133400,30,Yes,2126500,2106401,14
2133400,42,Yes,2126500,2106401,14
2133400,58,Yes,2126500,2106401,14
2133400,27,Yes,2126500,2106401,14
2133400,27,Yes,2126500,2106401,14
2133400,25,Yes,2126500,2106401,14
2133400,28,Yes,2126500,2106401,14
2133400,34,Yes,2126500,2106401,14
2133400,57,Yes,2126500,2106401,14
2133400,58,Yes,2126500,2106401,14
2133400,60,Yes,2126500,2106401,14
2133400,47,Yes,2126500,2106401,14
2133400,46,Yes,2126500,2106401,14
2133400,37,Yes,2126500,2106401,14
2133400,41,Yes,2126500,2106401,14
2133400,57,Yes,2126500,2106401,14
2133400,58,Yes,2126500,2106401,14
2133400,44,Yes,2126500,2106401,14
2133400,43,Yes,2126500,2106401,14
2133400,48,Yes,2126500,2106401,14
2133400,57,Yes,2126500,2106401,14
2133400,58,Yes,2126500,2106401,14
2133400,62,Yes,2126500,2106401,14
2133400,63,Yes,2126500,2106401,14
2133400,51,Yes,2126500,2106401,14
2133400,44,Yes,2126500,2106401,14
2133400,42,Yes,2126500,2106401,14
2133400,44,Yes,2126500,2106401,14
2133400,47,Yes,2126500,2106401,14
2133400,45,Yes,2126500,2106401,14
2133400,54,Yes,2126500,2106401,14
